post_id,user_id,category,post_type,content_length,created_at,region,title
P100001,U1081,technology,image,782,2026-03-09 08:50:00,north america,Travel moments
P100002,U1011,Sports,video,1513,07/03/2026 12:10,Latin America,Creator diary
P100003,U1020,Business,carousel,850,2026-03-11 19:52:00,middle east,Weekly roundup
P100004,U1005,Business,carousel,,2026-02-27 13:17:00,Africa,Quick tips
P100005,U1037,technology,livestream_clip,,2026-02-11 14:29:00,middle east,Breaking story
P100006,U1082,technology,poll,1374,2026-02-12 09:49:00,Asia Pacific,Launch teaser
P100007,U1007,Sports,livestream_clip,2594,2026-01-25 16:53:00,north america,Behind the scenes
P100008,U1063,Entertainment,short_video,573,2026-01-23 18:45:00,Latin America,Community question
P100009,U1028,TECHNOLOGY,poll,272,2026-01-15 05:53:00,EUROPE,Travel moments
P100010,,sports,poll,,2026-03-12 07:01:00,middle east,Weekly roundup
P100011,U1033,Lifestyle,livestream_clip,,2026-02-28 11:48:00,Latin America,Study notes
P100012,U1067,Technology,poll,185,2026-02-03 08:56:00,Middle East,Behind the scenes
P100013,U1062,technology,livestream_clip,543,2026-01-25 11:01:00,Latin America,Study notes
P100014,U1025,Business,text,3069,2026-02-17 10:39:00,asia pacific,Weekly roundup
P100015,U1075,Sports,image,1730,2026-01-07 11:14:00,North America,Quick tips
P100016,U1016,Business,poll,3884,2026-01-18 15:57:00,north america,Weekly roundup
P100017,U1006,Travel,short_video,,2026-03-15 04:55:00,north america,Behind the scenes
P100018,U1059,Sports,livestream_clip,58,2026-01-05 22:30:00,Latin America,Morning update
P100019,U1062,Education,video,1358,2026-01-01 12:42:00,Asia Pacific,Launch teaser
P100020,U1071,Travel,short_video,,2026-01-21 03:34:00,North America,Study notes
P100021,U1061,Lifestyle,livestream_clip,100,2026-01-18 05:56:00,north america,Study notes
P100022,U1072,Sports,poll,681,2026-03-02 04:03:00,Africa,Study notes
P100023,U1030,sports,carousel,2467,2026-01-30 02:41:00,north america,Morning update
P100024,U1027,Lifestyle,text,995,2026-02-03 23:14:00,Middle East,Breaking story
P100025,U1083,Lifestyle,image,1639,2026-01-25 09:44:00,north america,Weekly roundup
P100026,,Sports,short_video,,2026-01-05 22:58:00,north america,Travel moments
P100027,U1081,sports,video,246,2026-01-11 12:23:00,north america,Market watch
P100028,U1018,Entertainment,video,41,2026-02-02 21:38:00,Europe,Travel moments
P100029,U1052,Health,short_video,765,2026-02-07 20:40:00,North America,Breaking story
P100030,U1031,sports,video,327,2026-01-21 13:54:00,Europe,Match highlights
