username,account_type,followers_count,country,post_id,category,region,title,interactions,score
trend_pulse_811,verified_creator,33437,POLAND,P100076,education,NORTH AMERICA,Launch teaser,4,4
tech_world_155,creator,21,GERMANY,P100134,entertainment,AFRICA,Launch teaser,3,3
tech_world_155,creator,21,GERMANY,P100120,technology,LATIN AMERICA,Breaking story,2,2
tech_world_155,creator,21,GERMANY,P100051,travel,EUROPE,Weekly roundup,1,1
tech_world_155,creator,21,GERMANY,P100041,education,MIDDLE EAST,Behind the scenes,0,0
global_vibes_309,business,335397,CANADA,P100209,news,AFRICA,Weekly roundup,1,1
global_vibes_309,business,335397,CANADA,P100172,technology,NORTH AMERICA,Weekly roundup,1,2
spark_spot_856,brand,3370,USA,P100202,sports,MIDDLE EAST,Creator diary,2,2
stream_pulse_152,business,124,BRAZIL,P100065,technology,MIDDLE EAST,Creator diary,1,1
food_media_456,media,8536,GERMANY,P100214,technology,EUROPE,Launch teaser,1,1
food_media_456,media,8536,GERMANY,P100190,news,NORTH AMERICA,Creator diary,2,3
food_media_456,media,8536,GERMANY,P100169,technology,EUROPE,Travel moments,3,3
food_media_456,media,8536,GERMANY,P100087,entertainment,ASIA PACIFIC,Launch teaser,3,3
trend_vibes_403,business,0,NETHERLANDS,P100159,sports,ASIA PACIFIC,Match highlights,2,2
trend_vibes_403,business,0,NETHERLANDS,P100105,entertainment,ASIA PACIFIC,Morning update,4,4
unknown_user,business,229,CANADA,P100212,lifestyle,ASIA PACIFIC,Match highlights,0,0
unknown_user,business,229,CANADA,P100113,entertainment,MIDDLE EAST,Weekly roundup,2,2
unknown_user,business,229,CANADA,P100111,education,AFRICA,Match highlights,3,4
unknown_user,business,229,CANADA,P100079,education,MIDDLE EAST,Market watch,2,2
smart_media_645,creator,337333,EGYPT,P100218,education,NORTH AMERICA,Travel moments,3,5
smart_media_645,creator,337333,EGYPT,P100197,news,ASIA PACIFIC,Travel moments,1,1
smart_media_645,creator,337333,EGYPT,P100186,technology,EUROPE,Launch teaser,1,1
travel_media_717,media,458928,CANADA,P100168,lifestyle,NORTH AMERICA,Market watch,0,0
travel_media_717,media,458928,CANADA,P100139,technology,EUROPE,Quick tips,1,1
travel_media_717,media,458928,CANADA,P100007,sports,NORTH AMERICA,Behind the scenes,2,3
spark_lab_914,verified_creator,0,NETHERLANDS,P100108,sports,ASIA PACIFIC,Match highlights,6,6
spark_lab_914,verified_creator,0,NETHERLANDS,P100100,health,LATIN AMERICA,Behind the scenes,2,3
spark_lab_914,verified_creator,0,NETHERLANDS,P100028,entertainment,EUROPE,Travel moments,2,3
global_stories_13,personal,3194,UAE,P100178,health,NORTH AMERICA,Behind the scenes,3,4
global_stories_13,personal,3194,UAE,P100161,technology,EUROPE,Morning update,1,1
global_stories_13,personal,3194,UAE,P100038,business,NORTH AMERICA,Weekly roundup,3,3
viral_zone_262,business,57,POLAND,P100012,technology,MIDDLE EAST,Behind the scenes,1,1
travel_stories_668,media,2691,UK,P100188,technology,NORTH AMERICA,Weekly roundup,1,1
travel_stories_668,media,2691,UK,P100109,travel,NORTH AMERICA,Match highlights,4,4
travel_stories_668,media,2691,UK,P100080,travel,EUROPE,Study notes,1,1
travel_stories_668,media,2691,UK,P100063,sports,LATIN AMERICA,Community question,4,5
travel_stories_668,media,2691,UK,P100022,sports,AFRICA,Study notes,3,3
smart_vibes_519,verified_creator,0,USA,P100173,business,NORTH AMERICA,Breaking story,3,3
smart_vibes_519,verified_creator,0,USA,P100030,sports,EUROPE,Match highlights,4,5
global_zone_796,creator,325,CANADA,P100070,lifestyle,MIDDLE EAST,Creator diary,1,1
global_zone_796,creator,325,CANADA,P100055,sports,NORTH AMERICA,Market watch,2,2
tech_spot_771,personal,21623,FRANCE,P100143,sports,EUROPE,Quick tips,0,0
tech_spot_771,personal,21623,FRANCE,P100127,business,ASIA PACIFIC,Morning update,2,2
tech_spot_771,personal,21623,FRANCE,P100078,sports,MIDDLE EAST,Travel moments,5,6
tech_spot_771,personal,21623,FRANCE,P100039,technology,ASIA PACIFIC,Travel moments,1,1
tech_spot_771,personal,21623,FRANCE,P100018,sports,LATIN AMERICA,Morning update,4,4
